"Country","Day","Confirmed","Deaths","Recovered"
"Australia",1,4,0,0
"Australia",2,4,0,0
"Australia",3,5,0,0
"Australia",4,5,0,0
"Australia",5,5,0,0
"Australia",6,9,0,2
"Australia",7,9,0,2
"Australia",8,12,0,2
"Australia",9,12,0,2
"Australia",10,12,0,2
"Australia",11,13,0,2
"Australia",12,13,0,2
"Australia",13,14,0,2
"Australia",14,15,0,2
"Australia",15,15,0,2
"Australia",16,15,0,2
"Australia",17,15,0,2
"Australia",18,15,0,2
"Australia",19,15,0,2
"Australia",20,15,0,8
"Australia",21,15,0,8
"Australia",22,15,0,8
"Australia",23,15,0,8
"Australia",24,15,0,10
"Australia",25,15,0,10
"Australia",26,15,0,10
"Australia",27,15,0,10
"Australia",28,19,0,11
"Australia",29,22,0,11
"Australia",30,22,0,11
"Australia",31,22,0,11
"Australia",32,22,0,11
"Australia",33,22,0,11
"Australia",34,23,0,11
"Australia",35,23,0,11
"Australia",36,25,0,11
"Australia",37,27,1,11
"Australia",38,30,1,11
"Australia",39,39,1,11
"Australia",40,52,2,11
"Australia",41,55,2,21
"Australia",42,60,2,21
"Australia",43,63,2,21
"Australia",44,76,4,21
"Australia",45,91,4,21
"Australia",46,107,3,21
"Australia",47,128,3,21
"Australia",48,128,3,21
"Australia",49,200,3,23
"Australia",50,250,3,23
"Australia",51,297,3,23
"Australia",52,377,3,23
"Australia",53,452,5,23
"Australia",54,568,6,23
"Australia",55,681,6,26
"Australia",56,791,7,26
"Australia",57,1071,7,26
"Australia",58,1490,7,92
"Australia",59,1682,7,119
"Australia",60,2044,8,119
"Australia",61,2364,8,119
"Australia",62,2810,13,172
"Australia",63,3143,13,194
"Australia",64,3640,14,244
"Australia",65,3984,16,244
"Australia",66,4361,17,257
"Australia",67,4559,18,358
"Australia",68,4862,20,422
"Australia",69,5116,24,520
"Australia",70,5330,28,649
"Australia",71,5550,30,701
"Australia",72,5687,35,757
"Australia",73,5797,40,1080
"Australia",74,5895,45,1080
"Australia",75,6010,50,1080
"Australia",76,6108,51,1472
"Australia",77,6215,54,1793
"Australia",78,6303,57,1806
"Australia",79,6315,60,1806
"Australia",80,6351,61,1806
"Australia",81,6415,62,2186
"Australia",82,6440,63,2186
"Australia",83,6462,63,2355
"Australia",84,6522,66,3808
"Australia",85,6547,67,4124
"Australia",86,6547,67,4124
"Australia",87,6547,67,4124
"Australia",88,6547,67,4124
"Australia",89,6547,67,4124
"Australia",90,6661,75,4124
"Australia",91,6677,79,4124
"Australia",92,6694,80,4223
"Australia",93,6714,83,5541
"Australia",94,6721,83,5588
"Australia",95,6744,89,5665
"Australia",96,6752,91,5715
"Australia",97,6766,93,5742
"Australia",98,6778,93,5775
"Australia",99,6799,94,5814
"Australia",100,6822,95,5849
"Australia",101,6847,96,5887
"Australia",102,6875,97,5975
