"Country","Day","Confirmed","Deaths","Recovered"
"Belgium",1,1,0,0
"Belgium",2,1,0,0
"Belgium",3,1,0,0
"Belgium",4,1,0,0
"Belgium",5,1,0,0
"Belgium",6,1,0,0
"Belgium",7,1,0,0
"Belgium",8,1,0,0
"Belgium",9,1,0,0
"Belgium",10,1,0,0
"Belgium",11,1,0,0
"Belgium",12,1,0,0
"Belgium",13,1,0,0
"Belgium",14,1,0,1
"Belgium",15,1,0,1
"Belgium",16,1,0,1
"Belgium",17,1,0,1
"Belgium",18,1,0,1
"Belgium",19,1,0,1
"Belgium",20,1,0,1
"Belgium",21,1,0,1
"Belgium",22,1,0,1
"Belgium",23,1,0,1
"Belgium",24,1,0,1
"Belgium",25,1,0,1
"Belgium",26,1,0,1
"Belgium",27,2,0,1
"Belgium",28,8,0,1
"Belgium",29,13,0,1
"Belgium",30,23,0,1
"Belgium",31,50,0,1
"Belgium",32,109,0,1
"Belgium",33,169,0,1
"Belgium",34,200,0,1
"Belgium",35,239,0,1
"Belgium",36,267,0,1
"Belgium",37,314,3,1
"Belgium",38,314,3,1
"Belgium",39,559,3,1
"Belgium",40,689,4,1
"Belgium",41,886,4,1
"Belgium",42,1058,5,1
"Belgium",43,1243,10,1
"Belgium",44,1486,14,31
"Belgium",45,1795,21,31
"Belgium",46,2257,37,1
"Belgium",47,2815,67,263
"Belgium",48,3401,75,263
"Belgium",49,3743,88,401
"Belgium",50,4269,122,461
"Belgium",51,4937,178,547
"Belgium",52,6235,220,675
"Belgium",53,7284,289,858
"Belgium",54,9134,353,1063
"Belgium",55,10836,431,1359
"Belgium",56,11899,513,1527
"Belgium",57,12775,705,1696
"Belgium",58,13964,828,2132
"Belgium",59,15348,1011,2495
"Belgium",60,16770,1143,2872
"Belgium",61,18431,1283,3247
"Belgium",62,19691,1447,3751
"Belgium",63,20814,1632,3986
"Belgium",64,22194,2035,4157
"Belgium",65,23403,2240,4681
"Belgium",66,24983,2523,5164
"Belgium",67,26667,3019,5568
"Belgium",68,28018,3346,5986
"Belgium",69,29647,3600,6463
"Belgium",70,30589,3903,6707
"Belgium",71,31119,4157,6868
"Belgium",72,33573,4440,7107
"Belgium",73,34809,4857,7562
"Belgium",74,36138,5163,7961
"Belgium",75,37183,5453,8348
"Belgium",76,38496,5683,8757
"Belgium",77,39983,5828,8895
"Belgium",78,40956,5998,9002
"Belgium",79,41889,6262,9433
"Belgium",80,42797,6490,9800
"Belgium",81,44293,6679,10122
"Belgium",82,45325,6917,10417
"Belgium",83,46134,7094,10785
"Belgium",84,46687,7207,10878
"Belgium",85,47334,7331,10943
"Belgium",86,47859,7501,11283
"Belgium",87,48519,7594,11576
"Belgium",88,49032,7703,11892
"Belgium",89,49517,7765,12211
"Belgium",90,49906,7844,12309
"Belgium",91,50267,7924,12378
"Belgium",92,50509,8016,12441
