"Country","Day","Confirmed","Deaths","Recovered"
"Germany",1,4,0,0
"Germany",2,4,0,0
"Germany",3,4,0,0
"Germany",4,5,0,0
"Germany",5,8,0,0
"Germany",6,10,0,0
"Germany",7,12,0,0
"Germany",8,12,0,0
"Germany",9,12,0,0
"Germany",10,12,0,0
"Germany",11,13,0,0
"Germany",12,13,0,0
"Germany",13,14,0,0
"Germany",14,14,0,0
"Germany",15,16,0,0
"Germany",16,16,0,0
"Germany",17,16,0,1
"Germany",18,16,0,1
"Germany",19,16,0,1
"Germany",20,16,0,1
"Germany",21,16,0,1
"Germany",22,16,0,12
"Germany",23,16,0,12
"Germany",24,16,0,12
"Germany",25,16,0,14
"Germany",26,16,0,14
"Germany",27,16,0,14
"Germany",28,16,0,14
"Germany",29,17,0,14
"Germany",30,27,0,15
"Germany",31,46,0,16
"Germany",32,48,0,16
"Germany",33,79,0,16
"Germany",34,130,0,16
"Germany",35,159,0,16
"Germany",36,196,0,16
"Germany",37,262,0,16
"Germany",38,482,0,16
"Germany",39,670,0,17
"Germany",40,799,0,18
"Germany",41,1040,0,18
"Germany",42,1176,2,18
"Germany",43,1457,2,18
"Germany",44,1908,3,25
"Germany",45,2078,3,25
"Germany",46,3675,7,46
"Germany",47,4585,9,46
"Germany",48,5795,11,46
"Germany",49,7272,17,67
"Germany",50,9257,24,67
"Germany",51,12327,28,105
"Germany",52,15320,44,113
