"Country","Day","Confirmed","Deaths","Recovered"
"Singapore",1,1,0,0
"Singapore",2,3,0,0
"Singapore",3,3,0,0
"Singapore",4,4,0,0
"Singapore",5,5,0,0
"Singapore",6,7,0,0
"Singapore",7,7,0,0
"Singapore",8,10,0,0
"Singapore",9,13,0,0
"Singapore",10,16,0,0
"Singapore",11,18,0,0
"Singapore",12,18,0,0
"Singapore",13,24,0,0
"Singapore",14,28,0,0
"Singapore",15,28,0,0
"Singapore",16,30,0,0
"Singapore",17,33,0,2
"Singapore",18,40,0,2
"Singapore",19,45,0,2
"Singapore",20,47,0,9
"Singapore",21,50,0,15
"Singapore",22,58,0,15
"Singapore",23,67,0,17
"Singapore",24,72,0,18
"Singapore",25,75,0,18
"Singapore",26,77,0,24
"Singapore",27,81,0,29
"Singapore",28,84,0,34
"Singapore",29,84,0,34
"Singapore",30,85,0,37
"Singapore",31,85,0,37
"Singapore",32,89,0,51
"Singapore",33,89,0,51
"Singapore",34,91,0,53
"Singapore",35,93,0,62
"Singapore",36,93,0,62
"Singapore",37,93,0,62
"Singapore",38,102,0,72
"Singapore",39,106,0,72
"Singapore",40,108,0,78
"Singapore",41,110,0,78
"Singapore",42,110,0,78
"Singapore",43,117,0,78
"Singapore",44,130,0,78
"Singapore",45,138,0,78
"Singapore",46,150,0,78
"Singapore",47,150,0,78
"Singapore",48,160,0,78
"Singapore",49,178,0,96
"Singapore",50,178,0,96
"Singapore",51,200,0,97
"Singapore",52,212,0,105
"Singapore",53,226,0,105
"Singapore",54,243,0,109
"Singapore",55,266,0,114
"Singapore",56,313,0,114
"Singapore",57,345,0,114
"Singapore",58,385,0,124
"Singapore",59,432,2,140
"Singapore",60,455,2,144
"Singapore",61,509,2,152
"Singapore",62,558,2,156
"Singapore",63,631,2,160
"Singapore",64,683,2,172
"Singapore",65,732,2,183
"Singapore",66,802,2,198
"Singapore",67,844,3,212
"Singapore",68,879,3,228
"Singapore",69,926,3,240
"Singapore",70,1000,3,245
"Singapore",71,1049,4,266
"Singapore",72,1114,5,282
"Singapore",73,1189,6,297
"Singapore",74,1309,6,320
"Singapore",75,1375,6,344
"Singapore",76,1481,6,377
"Singapore",77,1623,6,406
"Singapore",78,1910,6,460
"Singapore",79,2108,7,492
"Singapore",80,2299,8,528
"Singapore",81,2532,8,560
"Singapore",82,2918,9,586
"Singapore",83,3252,10,611
"Singapore",84,3699,10,652
"Singapore",85,4427,10,683
"Singapore",86,5050,11,708
"Singapore",87,5992,11,740
"Singapore",88,6588,11,768
"Singapore",89,8014,11,801
"Singapore",90,9125,11,839
"Singapore",91,10141,12,896
"Singapore",92,11178,12,924
"Singapore",93,12075,12,956
"Singapore",94,12693,12,1002
"Singapore",95,13624,12,1060
"Singapore",96,14423,14,1095
"Singapore",97,14951,14,1128
"Singapore",98,15641,14,1188
"Singapore",99,16169,15,1244
"Singapore",100,17101,16,1268
"Singapore",101,17548,17,1347
"Singapore",102,18205,18,1408
"Singapore",103,18778,18,1457
"Singapore",104,19410,18,1519
"Singapore",105,20198,20,1634
"Singapore",106,20939,20,1712
"Singapore",107,21707,20,2040
"Singapore",108,22460,20,2296
"Singapore",109,23336,20,2721
"Singapore",110,23822,21,3225
"Singapore",111,24671,21,3851
"Singapore",112,25346,21,4809
