"Country","Day","Confirmed","Deaths","Recovered"
"UK",1,2,0,0
"UK",2,2,0,0
"UK",3,2,0,0
"UK",4,2,0,0
"UK",5,2,0,0
"UK",6,2,0,0
"UK",7,2,0,0
"UK",8,3,0,0
"UK",9,3,0,0
"UK",10,3,0,0
"UK",11,8,0,0
"UK",12,8,0,0
"UK",13,9,0,1
"UK",14,9,0,1
"UK",15,9,0,1
"UK",16,9,0,1
"UK",17,9,0,8
"UK",18,9,0,8
"UK",19,9,0,8
"UK",20,9,0,8
"UK",21,9,0,8
"UK",22,9,0,8
"UK",23,9,0,8
"UK",24,9,0,8
"UK",25,13,0,8
"UK",26,13,0,8
"UK",27,13,0,8
"UK",28,15,0,8
"UK",29,20,0,8
"UK",30,23,0,8
"UK",31,36,0,8
"UK",32,40,0,8
"UK",33,51,0,8
"UK",34,85,0,8
"UK",35,115,1,8
"UK",36,163,2,8
"UK",37,206,2,18
"UK",38,273,3,18
"UK",39,321,4,18
"UK",40,382,6,18
"UK",41,459,8,19
"UK",42,459,8,19
"UK",43,801,8,19
"UK",44,1143,21,19
"UK",45,1144,21,19
